Col1,Col2,Col3,Col4,Col5,Col6,Col7,ClassificationLabel
Word16 Word17 Word18 Word7,DR1075,"1,080.00",Word125 Word966,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201811-00046,"8,799,523.59",Word807 Word808 Word46,12/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word90 Word91 Word92 Word7,113480,"30,095.00",Word202 Word592,8/31/2018,Word567 Word582 Word41 Word319,Doc1,Category_2
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,70408,795.64,Word562,5/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,3765,"1,767.60",Word787 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,677912,278,Word123 Word809 Word26,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,18588,420.51,Word1336 Word701 Word84 Word1337,10/31/2018,Word563 Word575,NoDoc,Category_2
Word73 Word4 Word5,5493,425,Word615 Word53,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,2395,140.4,,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word47 Word3 Word4 Word39,2018001987,"10,799.50",Word826 Word780,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word257 Word258 Word259 Word5,171120-11183,"27,300.00",Word259 Word1110 Word1111,12/1/2017,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word108 Word109 Word45 Word5,1167,"67,228.50",Word1338 Word1339 Word785,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,MN1719,"4,050.00",Word338 Word904 Word764 Word26,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word62 Word63 Word18 Word7,212029M,240,Word975 Word976,2/1/2018,Word563 Word575,NoDoc,Category_1
Word16 Word17 Word18 Word7,3262,"1,375.60",Word26,3/1/2018,Word567 Word569 Word570,Doc1,Category_1
Word41 Word125 Word34 Word5,4312,"9,560.00",Word569 Word888 Word889,2/1/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word224 Word3 Word4 Word5,NW51-23764,370.1,Word826 Word780,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word47 Word339 Word229 Word340 Word7,17-18448,75.05,Word1340 Word659 Word967 Word1020,12/1/2017,Word563 Word598 Word71,NoDoc,Category_1
Word16 Word17 Word18 Word7,3770,"1,329.60",Word783 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80K+11,50,Word61,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word48 Word3 Word4 Word5,IW20180515,170,Word877,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word179 Word180 Word181 Word182,HLJYK080118-CRRN,"44,473.31",Word979 Word836 Word980 Word45 Word981 Word808,8/31/2018,Word571 Word52 Word594 Word696,NoDoc,Category_1
Word110 Word22 Word4 Word5,TE51-24992,382.5,Word338 Word9,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,8519,380,Word1283 Word1284,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word162 Word7,NUUL09KBE18,"10,200.00",Word582 Word1225,7/31/2018,Word567 Word582 Word107,Doc1,Category_1
Word108 Word109 Word45 Word5,1150,"28,002.50",Word60 Word99 Word26,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41522663,"4,223.00",Word121 Word836,9/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word30 Word31,14548,-48,Word1341 Word1342 Word1343 Word602,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word116 Word117 Word118 Word119 Word7,154409,447.9,Word51 Word791,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,14197,378.21,Word1001 Word868,5/31/2018,Word563 Word575,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80G+11,120,Word885 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,672986,182,Word826 Word780,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word219 Word220 Word34 Word5,1002-1003,"35,539.32",Word846 Word791 Word1062 Word45 Word967 Word911,2/1/2018,Word560 Word611 Word603 Word604 Word605 Word606,Doc1,Category_1
Word106 Word107 Word7,85435-1,"1,937.37",Word13 Word794,11/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word160 Word161 Word61 Word45 Word39,1244-2,130,Word61,12/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word74 Word75 Word44 Word5,PZX00128,"-269,111.58",Word840 Word841 Word842 Word843,3/1/2018,Word567 Word633 Word601 Word634,NoDoc,Category_1
Word134 Word61 Word45 Word39,WZPRVTWLA 2018 NYFFWLYW,"39,288.60",Word689 Word26,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,LD652,"2,520.00",Word787 Word784 Word785,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80I+11,51.6,Word783 Word784 Word568 Word650,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word341 Word181 Word7,RUZIUQBN110218,"14,474.07",Word1344 Word1345,11/30/2018,Word571 Word52 Word639 Word579,NoDoc,Category_1
Word179 Word180 Word181 Word182,YZYET080118-CUT,"-44,473.31",Word979 Word836 Word980 Word45 Word981 Word808,8/31/2018,Word571 Word52 Word594 Word641,NoDoc,Category_1
Word30 Word31,670399,48,Word826 Word780,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word219 Word220 Word34 Word5,1016,"40,896.57",Word846 Word791 Word909 Word45 Word909 Word981,2/1/2018,Word563 Word220,NoDoc,Category_1
Word196 Word197 Word198 Word4 Word7,401O081018XQREJRH,"131,335.95",Word640 Word1002,8/31/2018,Word571 Word52 Word639 Word640 Word579,NoDoc,Category_1
Word342 Word343 Word344,7900044080447190-112917,581.85,Word681 Word1346,12/1/2017,Word571 Word52 Word636 Word637 Word579,NoDoc,Category_1
Word270 Word52 Word345,311,"1,050.00",Word60 Word345 Word865 Word910 Word778 Word808,3/1/2018,Word571 Word52 Word657 Word457 Word13,NoDoc,Category_1
Word16 Word17 Word18 Word7,4628,225,Word877 Word201,4/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word59 Word60 Word61 Word5,895,58.5,Word60 Word99 Word26,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word346 Word5,120-10606,"1,704.00",Word562,8/31/2018,Word563 Word575,NoDoc,Category_1
Word44 Word45 Word46,201811-00046,"8,799,523.59",Word807 Word808 Word46,12/31/2018,Word563 Word676,NoDoc,Category_1
Word16 Word17 Word18 Word7,CR514,"1,400.00",Word785 Word948 Word764 Word26,6/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word42 Word43 Word5,7765,435,Word804 Word805 Word806,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80V+11,65,Word1031 Word776,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,RY750,180,Word1100 Word132,7/31/2018,Word563 Word132 Word610,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80J+11,268.75,Word1106 Word784 Word929,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65999,105,Word1294 Word1307 Word1308,3/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,14131,"1,344.91",Word575 Word868,5/31/2018,Word563 Word575,NoDoc,Category_2
Word30 Word31,656799,"4,972.50",Word797 Word809 Word650 Word1282 Word1172,5/31/2018,Word560 Word611 Word603 Word604 Word605 Word606,Doc1,Category_1
Word44 Word45 Word46,201805-00053-CM0,"2,570,126.23",Word834 Word835 Word46,6/30/2018,Word560 Word561 Word315 Word638,Doc1,Category_1
Word16 Word17 Word18 Word7,2835,608.4,,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4147,"1,927.20",Word1014 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,WQ1140,"2,520.00",Word61,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word257 Word258 Word259 Word5,171226-11461,"23,400.00",Word1347 Word856,2/1/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word70 Word47 Word71 Word72 Word7,284754,"12,368.79",Word700 Word808 Word865 Word808,3/1/2018,Word563 Word598 Word71,NoDoc,Category_1
Word16 Word17 Word18 Word7,4424,"1,080.90",Word1348 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word96 Word3 Word4 Word5,60236,800,Word800 Word799,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word347 Word10 Word5,9833,"2,512.50",Word681 Word1349,10/31/2018,Word571 Word52 Word657 Word457 Word13,NoDoc,Category_1
Word38 Word4 Word39,41527859,"3,862.50",Word121 Word836,11/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,3935,"1,270.80",Word959 Word784 Word785,3/1/2018,Word567 Word569 Word570,Doc1,Category_1
Word257 Word258 Word259 Word5,180109-11533,"26,800.00",Word1350 Word856,2/1/2018,Word567 Word672 Word580 Word202 Word545,Doc1,Category_1
Word348 Word274 Word7,FF000205872,-514.19,Word1351 Word1352,10/31/2018,Word571 Word52 Word657 Word457 Word13,NoDoc,Category_1
Word97 Word91 Word4 Word5,18-1863,520,Word123 Word190,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word101 Word102 Word103 Word7,112946,"12,318.34",Word861 Word1130 Word931 Word1353,7/31/2018,Word576 Word674 Word675,Doc3,Category4
Word33 Word34 Word35 Word7,108644-651,"3,464.32",Word562,2/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word227 Word204 Word253 Word7,64565,"1,384.23",Word397 Word791,9/30/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word96 Word3 Word4 Word5,80325,225,Word1169 Word1072,6/30/2018,Word563 Word132 Word610,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80N+11,180,Word330 Word99 Word780,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word349 Word3 Word4 Word350 Word351 Word333,87612,"2,546.00",Word1354 Word585 Word351,6/30/2018,Word560 Word561 Word551 Word4,Doc1,Category_1
Word16 Word17 Word18 Word7,IJ1072,540,Word1100 Word1355 Word1356,8/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,17227,413.46,Word575,8/31/2018,Word563 Word575,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80B+11,125,Word61,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word140 Word3 Word34,10087,"3,772.00",Word846 Word791,8/31/2018,Word560 Word561 Word107,Doc1,Category_1
Word8 Word9 Word10 Word11 Word5,4.80F+11,51.6,Word61,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80I+11,"2,400.00",Word1357 Word776,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4521,"1,149.60",Word783 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word352 Word13 Word5,808,"13,403.00",Word13 Word794,11/30/2018,Word52 Word330 Word566,NoDoc,Category_1
Word44 Word45 Word46,201811-00046,"8,799,523.59",Word807 Word808 Word46,12/31/2018,Word563 Word359,NoDoc,Category_1
Word16 Word17 Word18 Word7,RS1310,"3,780.00",Word1358,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-511,966.35,Word193 Word1359 Word967 Word699 Word967 Word1062,12/1/2017,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-1273,"8,919.12",Word562,9/30/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word111 Word112 Word91 Word107 Word7,27003,"12,138.00",Word846 Word791 Word45 Word981 Word700 Word699,2/1/2018,Word567 Word582 Word107,Doc1,Category_1
Word285 Word204 Word103 Word7,2018-2249,"28,000.00",Word1360 Word204 Word103 Word857,11/30/2018,Word567 Word582 Word583 Word584 Word585 Word586,Doc1,Category_1
Word257 Word258 Word259 Word5,180926-13410,"29,400.00",Word1347 Word856,10/31/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word16 Word17 Word18 Word7,4085,117,Word1031 Word784 Word785,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,BI1989,"1,080.00",Word1033 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word177 Word178 Word147 Word7,274VMX,"13,949.00",Word802 Word706 Word825,8/31/2018,Word576 Word705 Word706,Doc3,Category_1
Word74 Word75 Word44 Word5,NFY00128,"269,111.58",Word840 Word841 Word842 Word843,10/1/2016,Word563 Word600 Word601 Word602,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-721,"1,286.88",Word193 Word1361 Word45 Word1190 Word700 Word700,3/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,3132,"1,203.00",Word785 Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,BQ1104,"5,040.00",Word1362 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word285 Word353 Word44 Word5,217157,920,Word681 Word1363,3/1/2018,Word571 Word52 Word636 Word707 Word613,NoDoc,Category_2
Word16 Word17 Word18 Word7,6525,646.2,Word959 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word199 Word200 Word201 Word202 Word7,ZEN-0024691,"2,800.00",Word202,8/31/2018,Word563 Word580 Word202 Word592,NoDoc,Category_2
Word16 Word17 Word3 Word7,71843,"1,320.00",Word1116 Word656,9/30/2018,Word563 Word366 Word562,NoDoc,Category_2
Word40 Word41 Word4 Word5,1728,"-16,092.56",Word1364 Word1365,6/30/2018,Word567 Word582 Word41 Word319,Doc1,Category_1
Word30 Word31,657560,364,Word935 Word26,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41530347,"22,000.00",Word121 Word1062 Word45 Word1062 Word981,11/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,TS1112,"1,080.00",Word959 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4670,"1,468.80",Word959 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word162 Word7,XMHO13GNR18,"11,976.00",Word582 Word1225,5/31/2018,Word567 Word582 Word107,Doc1,Category_1
Word38 Word4 Word39,41510121,"4,100.00",Word792 Word1022 Word659,7/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80W+11,212.85,Word9 Word26,12/1/2017,Word563 Word608 Word609,NoDoc,Category_1
Word16 Word17 Word18 Word7,DZ1329,180,Word1366 Word785,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word110 Word22 Word4 Word5,WQ51-25084,807.5,Word887 Word577,5/31/2018,Word563 Word132 Word610,NoDoc,Category_1
Word30 Word31,667367,48,Word826 Word780,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-1209,"4,557.96",Word562,10/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80I+11,50,Word1367 Word784 Word568,11/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word74 Word75 Word44 Word5,LMD00128,"269,111.58",Word840 Word841 Word842 Word843,10/1/2016,Word563 Word600 Word601 Word602,NoDoc,Category_1
Word62 Word63 Word18 Word7,211354A,"1,240.00",Word785 Word61,12/1/2017,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,659977,340,Word797 Word190,5/31/2018,Word563 Word132 Word610,NoDoc,Category_1
Word110 Word22 Word4 Word5,QW51-24530,680,Word1286 Word826 Word764 Word61,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41521567,"3,862.50",Word121 Word836,9/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word354 Word321 Word355 Word5,35150,"1,591.28",Word1368 Word340 Word857,8/31/2018,Word560 Word561 Word580 Word202 Word545,Doc1,Category_2
Word33 Word34 Word35 Word7,108644-1137,"11,297.76",Word1369 Word1370 Word883 Word717 Word883 Word831,8/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64545,735,Word804 Word805 Word868,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word58 Word3 Word4 Word5,12912,"2,620.00",Word562,4/30/2018,Word288 Word626 Word627,NoDoc,Category_1
Word148 Word75 Word5,9145,"26,800.00",Word1260 Word908 Word45 Word882 Word700 Word883,2/1/2018,Word565 Word566,NoDoc,Category_1
Word42 Word43 Word5,8233,210,Word1119 Word1120 Word806,8/31/2018,Word52 Word330 Word411 Word692,NoDoc,Category_1
Word76 Word77 Word5,52032433,"32,255.00",Word13 Word794,11/30/2018,Word560 Word561 Word107,Doc1,Category_1
Word78 Word79 Word11 Word5,L043018-11,48,Word330 Word99 Word26,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word356 Word13,N3077,"17,815.00",Word846 Word791,7/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word324 Word4,JE18-1967,"-6,786.68",Word694 Word695 Word160 Word817 Word1276 Word1277 Word1278,8/31/2018,Word671 Word561 Word160 Word694 Word695 Word160 Word593,Doc1,Category_1
Word8 Word9 Word10 Word11 Word5,4.80P+11,178.45,Word564 Word9 Word26,12/1/2017,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,2272,230.4,,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word24 Word22 Word4 Word5,23112,255,Word562,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word113 Word114 Word115 Word7,149409,593.75,Word578,8/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,6582,640.8,Word885 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,18395,97.79,Word575,9/30/2018,Word563 Word575,NoDoc,Category_2
Word16 Word17 Word18 Word7,XW1145,"1,260.00",Word61,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word25 Word26,090718-8,"1,104.00",Word61,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word139 Word3 Word4 Word7,16219,"3,573.47",Word1371 Word1353 Word1372 Word1204,11/30/2018,Word563 Word589 Word590,NoDoc,Category_2
Word62 Word63 Word18 Word7,211437I,"1,680.00",Word338 Word61,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3508,"1,281.60",Word785 Word330 Word99 Word764 Word26,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-1118,"9,055.07",Word562,7/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80S+11,925,Word577 Word877,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4378,"1,237.20",Word885 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word187 Word330 Word357,OBPDNPHPPYPA102417,"1,063.05",Word1373 Word1374 Word763,10/1/2017,Word610 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,2112,225,Word255 Word9,12/1/2017,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64627,840,Word1331 Word592 Word764 Word1375,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word80 Word3 Word4,E156998,"89,681.00",Word562 Word1017 Word602 Word1079,10/31/2018,Word567 Word568 Word569 Word295,Doc1,Category_1
Word160 Word161 Word61 Word45 Word39,797-10,520,,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201805-00053-WS0,"2,570,126.23",Word834 Word835 Word46,6/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word3 Word7,71674,432,Word562,8/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word89 Word44 Word5,66566467,"1,406.35",Word644,5/31/2018,Word563 Word608 Word609,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80R+11,"7,650.00",Word577 Word1376 Word170,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,666632,546,Word935 Word26,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word358 Word359,203012140,"3,105.00",Word1377 Word740 Word1378,3/1/2018,Word560 Word561 Word580 Word202 Word545,Doc1,Category_2
Word90 Word91 Word92 Word7,111478-2,"10,536.55",Word202,6/30/2018,Word567 Word582 Word41 Word319,Doc1,Category_1
Word8 Word9 Word10 Word11 Word5,4.80V+11,55.9,Word1031 Word784 Word568 Word650,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,XM1350,540,Word1379 Word785,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word360 Word204 Word103 Word5,8639,"10,000.00",Word1380,4/1/2018,Word567 Word580 Word202 Word545,Doc1,Category_1
Word80 Word3 Word4,C134490,"6,200.00",Word202 Word592,8/31/2018,Word563 Word580 Word202 Word592,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-511,966.35,Word193 Word1359 Word967 Word699 Word967 Word1062,12/1/2017,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word308 Word309 Word310,2018PQAWSMFUCFUVFM,"2,760,671.27",Word835 Word682 Word683 Word684,10/31/2018,Word563 Word682 Word683 Word684,NoDoc,Category_1
Word30 Word31,646211,539,Word797 Word190,3/1/2018,Word563 Word132 Word610,NoDoc,Category_1
Word16 Word17 Word18 Word7,GV610,"2,520.00",Word785 Word9,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word96 Word3 Word4 Word5,60304,"1,440.00",Word1053 Word779 Word258 Word764 Word26,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word116 Word117 Word118 Word119 Word7,155120,576,Word562,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word30 Word31,675120,240,Word779 Word258 Word26,9/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word16 Word17 Word18 Word7,PX2118,630,Word1381 Word959 Word1382 Word165 Word948,11/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word44 Word45 Word46,201805-00053-OZ0,"2,570,126.23",Word834 Word835 Word46,6/30/2018,Word563 Word615 Word211,NoDoc,Category_1
Word40 Word41 Word4 Word5,1794,"4,150.00",Word802 Word278 Word1242 Word803,8/31/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word16 Word17 Word18 Word7,QC1000,720,Word959 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word131 Word132 Word133 Word5,M21801002,"56,355.65",Word1383 Word835 Word61 Word1046,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,LT223,"7,560.00",Word172 Word1196 Word764 Word780,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,14103,50.29,Word1384 Word1385 Word575,4/30/2018,Word563 Word575,NoDoc,Category_2
Word38 Word4 Word39,41492506,"4,223.00",Word1021 Word1386 Word659,5/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word270 Word52 Word345,314,"1,050.00",Word846 Word791 Word699 Word694 Word699 Word716,4/1/2018,Word571 Word52 Word657 Word457 Word13,NoDoc,Category_1
Word38 Word4 Word39,41506443,"6,772.25",Word1171 Word1107 Word794 Word659 Word1295,7/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word116 Word117 Word118 Word119 Word7,155120,576,Word562,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,HW1708,270,Word941 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,2596,"1,080.00",Word1013,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word96 Word3 Word4 Word5,65008,540,Word800 Word799 Word816,2/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word312 Word313 Word314 Word315 Word5,XRR1001810,"140,035.00",Word1246 Word791,10/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word38 Word4 Word39,41519431,"22,000.00",Word1171 Word1107 Word794 Word659 Word1200,10/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,5223,"1,327.20",Word785 Word901 Word343,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,YC125,"13,860.00",Word1387 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word96 Word3 Word4 Word5,85728,735,Word797 Word190,7/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word116 Word117 Word118 Word119 Word7,148644,697.16,Word51 Word794,7/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word101 Word102 Word103 Word7,113573,"9,077.86",Word562 Word1388,9/30/2018,Word576 Word366 Word562,Doc3,Category4
Word19 Word20 Word21 Word22 Word23 Word5,17668,59.22,Word633 Word575,8/31/2018,Word563 Word575,NoDoc,Category_2
Word16 Word17 Word18 Word7,1623,117,Word338 Word568 Word650,12/1/2017,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,KN1126,"1,080.00",Word338 Word61,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,20414335,"1,200.00",Word1389 Word1107 Word888,3/1/2018,Word563 Word121 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,3247,432,Word924 Word784 Word785,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,10845,291.42,Word575,12/1/2017,Word563 Word575,NoDoc,Category_2
Word257 Word258 Word259 Word5,180703-12793,"23,400.00",Word1347 Word856,7/31/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word33 Word34 Word35 Word7,108644-1337,"86,411.00",Word562,10/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,4368,"1,543.20",Word885 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
